Note	Pitch	Value (256)	Value (64K)	Midi Note #
a	27.5000	43	11105	21
a#	29.1352	46	11765	22
b	30.8677	49	12465	23
c	32.7032	52	13206	24
c#	34.6478	55	13991	25
d	36.7081	58	14823	26
d#	38.8909	61	15705	27
e	41.2034	65	16639	28
f	43.6535	69	17628	29
f#	46.2493	73	18676	30
g	48.9994	77	19787	31
g#	51.9131	82	20963	32
a	55.0000	87	22210	33
a#	58.2705	92	23530	34
b	61.7354	97	24930	35
c	65.4064	103	26412	36
c#	69.2957	109	27983	37
d	73.4162	116	29646	38
d#	77.7817	123	31409	39
e	82.4069	130	33277	40
f	87.3071	138	35256	41
f#	92.4986	146	37352	42
g	97.9989	155	39573	43
g#	103.8262	164	41926	44
a	110.0000	174	44420	45
a#	116.5409	184	47061	46
b	123.4708	195	49859	47
c	130.8128	206	52824	48
c#	138.5913	219	55965	49
d	146.8324	232	59293	50
d#	155.5635	245	62819	51
e	164.8138	260	66554	52
f	174.6141	275	70512	53
f#	184.9972	292	74704	54
g	195.9977	309	79147	55
g#	207.6523	328	83853	56
a	220.0000	347	88839	57
a#	233.0819	368	94122	58
b	246.9417	390	99719	59
c	261.6256	413	105648	60
c#	277.1826	437	111930	61
d	293.6648	463	118586	62
d#	311.1270	491	125637	63
e	329.6276	520	133108	64
f	349.2282	551	141023	65
f#	369.9944	584	149409	66
g	391.9954	618	158293	67
g#	415.3047	655	167706	68
a	440.0000	694	177678	69
a#	466.1638	735	188244	70
b	493.8833	779	199437	71
c	523.2511	825	211296	72
c#	554.3653	874	223861	73
d	587.3295	926	237172	74
d#	622.2540	982	251275	75
e	659.2551	1040	266217	76
f	698.4565	1102	282047	77
f#	739.9888	1167	298818	78
g	783.9909	1237	316587	79
g#	830.6094	1310	335412	80
a	880.0000	1388	355356	81
a#	932.3275	1471	376487	82
b	987.7666	1558	398874	83
c	1046.5023	1651	422592	84
c#	1108.7305	1749	447721	85
d	1174.6591	1853	474344	86
d#	1244.5079	1963	502550	87
e	1318.5102	2080	532433	88
f	1396.9129	2203	564093	89
f#	1479.9777	2335	597636	90
g	1567.9817	2473	633173	91
g#	1661.2188	2620	670824	92
a	1760.0000	2776	710713	93
a#	1864.6550	2941	752974	94
b	1975.5332	3116	797748	95
c	2093.0045	3302	845185	96
c#	2217.4610	3498	895442	97
d	2349.3181	3706	948688	98
d#	2489.0159	3926	1005100	99
e	2637.0205	4160	1064866	100
f	2793.8259	4407	1128186	101
f#	2959.9554	4669	1195272	102
g	3135.9635	4947	1266346	103
g#	3322.4376	5241	1341647	104
a	3520.0000	5552	1421426	105
a#	3729.3101	5883	1505948	106
b	3951.0664	6232	1595496	107
c	4186.0090	6603	1690369	108
